hash,given_name,surname,phone_number,national_insurance_number,blood_group,postcode,birthdate,avg_n_drinks_per_week,avg_n_cigret_per_week,country_of_birth,height,weight,salt
8e8df90e0a29de35521cff2f2a2ac65ed537c317,Lorraine,Reed,(07700) 900876,ZZ 19 48 92 T,B+,LS5 8FN,1984-07-05,6.5,218.8,Armenia,1.73,74.2,b'welxlvqacj'
5746eb13d73362212ff3703abc1a14a706df4b25,Edward,Williams,(07700) 900 877,ZZ 753513 T,O-,M0U 1RA,1997-06-17,0.7,43.6,Northern Mariana Islands,1.74,69.4,b'cicxyimkox'
e9d7b2ba7da566d124f3f250e1361123d0f45cfd,Hannah,Turner,+447700 900148,ZZ 947196 T,B+,SO1 8HZ,1990-06-15,7.8,59.1,Venezuela,1.88,98.6,b'mhcfftclpz'
43d8859e9a5de0a318129d5db3215931c1e983f4,Christine,Osborne,+447700 900112,ZZ 39 69 47 T,O+,B18 8LW,2000-07-29,4.6,284.2,Eritrea,1.56,62.0,b'kcygotftcp'
a8d613429ff1729fa085cca6194d201ec7f47b8c,Francesca,Yates,07700 900 413,ZZ 30 98 91 T,A-,TQ2 6BE,1968-11-04,4.4,348.8,Ecuador,1.81,96.3,b'mvjmwzrmvi'
b81d8a399a8a378744ad2152291cbad3864aa142,Joanne,Middleton,+44(0)7700 900 032,ZZ 141314 T,A-,CM7H 0XS,1963-10-15,5.7,219.3,Argentina,1.59,43.4,b'yflmpirtyn'
5986db488d10b97cdcd3a93fa2520fb86e205662,Joel,Spencer,(07700) 900579,ZZ 97 20 76 T,B+,L02 5WL,1982-07-08,2.4,79.5,Cook Islands,1.55,77.5,b'lopymqqpqv'
d2134aef7992a644bfbd89807fb5716949629c15,Leonard,Marshall,07700 900508,ZZ 599246 T,A+,CR3 5ZN,1987-01-20,8.4,48.0,Saint Vincent and the Grenadines,1.89,59.0,b'zmwgfanqeo'
f183cc5e82f1e5c6455ea49e81aaa6d276474f99,Tracy,Smith,+447700 900 960,ZZ278789T,A+,WR96 2TD,1999-04-07,1.2,148.1,Kiribati,1.42,83.1,b'coqcczrxai'
55faabf565f82ca2c578bc07c0e82f6f22bbe12b,Gavin,Kay,+44(0)7700900206,ZZ 131934 T,A+,KT5A 0AW,1998-12-21,5.2,47.0,Belize,1.74,80.0,b'rmqywlerbc'
bc87bd2a477adc9b3d8dc1ceafb5adedbda27881,Ashley,Johnston,(07700) 900285,ZZ 485590 T,A+,G4 0BH,1963-10-08,1.8,293.3,Tokelau,1.83,43.6,b'xgnipqtqsr'
83c877e3b05072ab9d92f31b1c2eeddd6300fa4f,Craig,Martin,07700 900 224,ZZ 42 29 45 T,AB+,HR5 5ZB,1995-11-05,2.5,288.1,French Guiana,1.84,52.6,b'qbkdyqaavn'
1d56b407d7cdc889ec8076ee4a3a680f74bb1982,Peter,Brookes,07700 900465,ZZ517176T,O+,KT1 8UU,1991-06-26,3.0,406.9,Saint Lucia,1.91,64.1,b'xjrvelumjq'
5fafd0ac7075d51d0d3dd8d2abc8cbedb8b96bd4,Frances,Hopkins,+44(0)7700900306,ZZ 361534 T,B+,E6 7UY,1961-08-26,9.6,322.0,Congo,1.84,80.0,b'lhblroisvg'
94311cf7ff243e73003f234ad6a6cb399299fa30,Bruce,Day,+44(0)7700 900317,ZZ 76 58 21 T,O+,EN30 9FE,1991-09-03,4.3,67.7,South Korea,1.57,77.9,b'pdnpmmcgnu'
79416216a2e98d08e78bc78e281667af7fa362d2,Mandy,Davies,+447700 900738,ZZ 49 26 94 T,B+,L0F 5BW,1977-10-31,9.0,183.8,Syrian Arab Republic,1.79,77.5,b'bnczbxyoxh'
57fba28226f1c8fd5ff566c235e4999a611ae83a,Jade,Clarke,+447700 900522,ZZ 189163 T,O+,LE5V 8WB,1976-05-02,10.0,74.7,American Samoa,1.95,41.5,b'gcibbjabjm'
4a7007183c9bc4223fc151cd38a61d0237c5133d,Francesca,Barnes,07700 900 248,ZZ602234T,O+,M5B 4NS,1957-04-14,4.1,34.6,Jordan,1.88,90.1,b'gvbfwsdwph'
ffe9068d7782a2132e8f76cc7883584da52251d9,Grace,Ball,07700 900256,ZZ 00 99 25 T,A+,W6 0EU,1996-11-07,3.6,365.0,Dominican Republic,1.91,98.4,b'bptooozddi'
da6a229fcb55288d010964be4ff84824de36d0be,Robert,Morrison,+44(0)7700 900519,ZZ 06 75 37 T,A+,TN2 4EW,1987-09-07,3.5,464.0,New Zealand,1.88,36.2,b'cqsgtingtw'
a2581db8516d337c98aa9d89dd2deb240161a43c,Elliot,King,(07700) 900 318,ZZ 611611 T,O-,NG6V 1FS,1994-10-20,6.1,267.8,Turkey,1.54,72.5,b'tdvrfqtrnt'
fe0c96431fc0e5872bd6b5a41ebc439fdb88599a,Frederick,Bell,(07700) 900151,ZZ 51 92 30 T,O-,N0 5GA,1977-12-21,7.4,245.2,South Africa,1.51,48.6,b'adnjsulkrx'
ce8cf3a42ce192a4aa7aff4c6edd3c7c31fc66d1,Connor,Taylor,07700 900754,ZZ 529118 T,A-,B35 7NN,1968-08-12,1.8,12.3,South Korea,1.82,55.3,b'cxjbpaqbbt'
226908b30612d496d45c991775a05bec7c3ea56f,Charles,Buckley,07700900456,ZZ 64 86 29 T,A+,BH2W 6DD,1971-12-30,6.6,131.7,Saudi Arabia,1.99,93.3,b'dsielhayqg'
2e5ac6321bfc5e496b1b5c4343007939cd6a1ff9,Stanley,Wells,+447700 900 065,ZZ189276T,O+,DL54 1GE,1959-10-30,8.7,136.8,Honduras,1.9,73.2,b'wxhanlsxak'
8d4d85e9ef70a6d96a2ceb4aa80e220ca3d4fe96,Amber,Sanders,+44(0)7700 900173,ZZ 48 92 67 T,O+,AB7 0HN,1987-05-11,2.5,106.7,Niue,1.97,49.0,b'aljayehgui'
fb583fe981a1559d0187dbcb2d28072c0a1b9ff2,Darren,Dixon,07700 900 468,ZZ 101448 T,A+,S7B 5NH,2001-05-19,5.9,431.9,Armenia,1.68,59.3,b'kfukjlokma'
